system:index,area,class,territory,year,.geo
0_7_0,0.0017857496337890626,1,15,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_0,48999.58438957458,1,16,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_1,69805.58134196488,2,16,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_0,68396.65632522172,1,17,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_1,80477.3856071839,2,17,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_0,22652.223750096116,1,18,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_1,28101.543584771138,2,18,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_0,24065.686752731606,1,19,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_1,28299.296658800005,2,19,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_0,32831.13979056675,1,20,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_1,49769.412993439626,2,20,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_0,6246.735615483829,1,21,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_1,6969.377998564156,2,21,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_0,4085.5266576569247,1,22,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_1,8059.951646361582,2,22,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_0,179582.29707242156,1,23,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_1,171864.89679754272,2,23,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_0,18429.513838658844,1,24,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_1,14213.69533637748,2,24,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7_0,0.0017857496337890626,1,15,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8_0,49631.42975368389,1,16,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8_1,69173.73597785582,2,16,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9_0,70099.98910567568,1,17,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9_1,78774.05282672982,2,17,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_10_0,20574.228357885455,1,18,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_10_1,30179.538976981887,2,18,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11_0,22489.805574267735,1,19,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11_1,29875.17783726368,2,19,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_12_0,32081.044804034478,1,20,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_12_1,50519.50797997134,2,20,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_13_0,5805.016948072069,1,21,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_13_1,7411.096665976416,2,21,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_14_0,3725.1235189226923,1,22,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_14_1,8420.354785095658,2,22,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_15_0,171083.20413319345,1,23,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_15_1,180363.98973677287,2,23,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_16_0,17343.330833300384,1,24,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_16_1,15299.878341736114,2,24,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_7_0,0.0017857496337890626,1,15,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_8_0,49717.92606104785,1,16,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_8_1,69087.23967049264,2,16,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
