system:index,area,class,territory,year,.geo
0_7_0,0.0017857496337890626,1,15,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_0,3891.98685014265,1,16,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_1,114913.17888139494,2,16,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_0,7491.054963684992,1,17,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_1,141382.9869687284,2,17,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_0,3102.6716341163956,1,18,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_1,47651.09570074325,2,18,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_0,2823.56721970928,1,19,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_1,49541.416191823904,2,19,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_0,4813.711149180506,1,20,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_1,77786.84163482697,2,20,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_0,568.8336335770883,1,21,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_1,12647.279980470641,2,21,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_0,464.01178496191153,1,22,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_1,11681.46651905657,2,22,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_0,14887.281699342804,1,23,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_1,336559.9121706201,2,23,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_0,900.7336861827371,1,24,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_1,31742.475488862525,2,24,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7_0,0.0017857496337890626,2,15,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8_0,3794.2025288502423,1,16,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8_1,115010.96320268733,2,16,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9_0,7042.078672030463,1,17,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9_1,141831.96326038247,2,17,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_10_0,2642.464688374009,1,18,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_10_1,48111.30264648508,2,18,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11_0,2560.4916853173813,1,19,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11_1,49804.491726217246,2,19,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_12_0,4363.405577853073,1,20,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_12_1,78237.14720615403,2,20,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_13_0,520.3259375198386,1,21,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_13_1,12695.78767652772,2,21,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_14_0,429.15364160693264,1,22,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_14_1,11716.324662411615,2,22,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_15_0,13379.919692307043,1,23,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_15_1,338067.2741776551,2,23,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_16_0,844.0189978851298,1,24,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_16_1,31799.19017715998,2,24,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_7_0,0.0017857496337890626,2,15,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_8_0,3786.532600786875,1,16,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
