Classe,Region,Level,Year,Pop_Prop,Pop_Bias,Pop_Bias_SE,Global_Acc,Allocation_Tot,Quantity_Tot,Producer_Acc,Producer_stdErr,User_Acc,User_stdErr
1.1. Formação Florestal,Amazônia,l3,1985,0.9160378322367749,-0.0035811972480431203,0.002473859602588913,0.0,0.02035263976054069,0.0035811972480430665,0.9888473386130874,0.0020512167031741563,0.9849814967852131,0.002003317379668031
1.2. Formação Savânica,Amazônia,l3,1985,0.002258648520768074,0.004189887520436108,0.0014015241710807142,0.0,0.0028383191460566956,0.004189887520436107,0.13018287288396121,0.010609446723732834,0.3716775496588777,0.032951065823437285
2.2. Formação Campestre (Campo),Amazônia,l3,1985,0.030794244946930987,-0.009737958252389748,0.001885751627447726,0.0,0.0023546981129413877,0.009737958252389746,0.9440856275586368,0.03536978615036547,0.6455406739905052,0.021841675542453566
3.1. Pastagem,Amazônia,l3,1985,0.031984473224372194,0.006436263038203659,0.0019931235638229803,0.0,0.009799802496377852,0.006436263038203653,0.7049467191643934,0.02193059834089855,0.8468037533769609,0.026272758990287026
3.2.1. Lavoura Temporária,Amazônia,l3,1985,0.0005947888009999535,6.98405475059017e-05,0.00024562563966042285,0.0,0.00021890278087156878,6.984054750590167e-05,0.7302377056554152,0.06581271772436467,0.8159827652239321,0.07512784093860751
4.2. Infraestrutura Urbana,Amazônia,l3,1985,0.00022999426196214088,0.0001530506306003038,0.0003008042128415805,0.0,1.9773011592816607e-06,0.00015305063060030378,0.5978558018370317,0.08882231614108094,0.9957014119778189,0.1719271851719446
"5.1. Rio, Lago e Oceano",Amazônia,l3,1985,0.018100018008251346,0.002470113763686898,0.001015985628124572,0.0,0.0014001198293563527,0.002470113763686898,0.8458846198209672,0.0287901481092224,0.9613226951288649,0.03370146980532643
TOTAL,Amazônia,l3,1985,1.0,0.0,0.00931667444556691,96.81976147859153,1.8483229713651912,1.3319155500432838,0.9681976147859744,0.00419738892121733,0.9681976147859741,0.0041166823238735105
1.1. Formação Florestal,Amazônia,l3,1986,0.9183435230260515,-0.006837958290267178,0.0023545669791857475,0.0,0.016745431921184162,0.006837958290267232,0.9908144104824864,0.001985597077444196,0.9834368361408605,0.0019053522761586293
1.2. Formação Savânica,Amazônia,l3,1986,0.002157560420550822,0.0037786121309814004,0.0012925558013362616,0.0,0.0027658426564086116,0.003778612130981399,0.1304947060790154,0.010128450694192985,0.359034715768818,0.030449148953610707
2.2. Formação Campestre (Campo),Amazônia,l3,1986,0.029825434203590843,-0.008879957371937038,0.001771320662368265,0.0,0.0026575976395340345,0.008879957371937034,0.9365591516274829,0.03355771953953445,0.6577164267913665,0.02152592960158876
3.1. Pastagem,Amazônia,l3,1986,0.030593919841891724,0.009556791217422322,0.0019057202421055048,0.0,0.006536258557025179,0.009556791217422336,0.6805804889236251,0.02023440949286508,0.8931771641096613,0.026880552210972228
3.2.1. Lavoura Temporária,Amazônia,l3,1986,0.000604864390898996,6.0606499819021236e-05,0.00021322101074142095,0.0,0.00019609547435773004,6.060649981902118e-05,0.7615910189148852,0.06357855417081087,0.8379012905138309,0.06818413377942159
4.2. Infraestrutura Urbana,Amazônia,l3,1986,0.0003288231559738711,2.8893576059581705e-05,0.00029300899830596723,0.0,0.00018199193317680091,2.889357605958176e-05,0.6648478197637946,0.09276901651179456,0.7232677658636937,0.09999257142006367
"5.1. Rio, Lago e Oceano",Amazônia,l3,1986,0.01814587496108027,0.00229301223792189,0.0009405282104164895,0.0,0.0015783037774301165,0.002293012237921891,0.849200981607873,0.026863257580147227,0.9565106730643935,0.031143329854479773
TOTAL,Amazônia,l3,1986,1.0,0.0,0.008770921904459656,96.89513233582375,1.5330760979558318,1.571791566220425,0.9689513233582753,0.004009865180529772,0.9689513233582749,0.003919110454033394
1.1. Formação Florestal,Amazônia,l3,1987,0.9145117931867045,-0.009409556242352728,0.0023992016816895253,0.0,0.01614591460164494,0.009409556242352513,0.9910806128067062,0.0020633009707674284,0.9808832278889961,0.00196001989131579
1.2. Formação Savânica,Amazônia,l3,1987,0.0021667478627585084,0.0035768094670970176,0.0012717950520576195,0.0,0.0028260815797576722,0.003576809467097019,0.13122652558229647,0.010150338147426783,0.34785176708106696,0.02902513361300463
