system:index,CLASS_2000,CLASS_2010,CLASS_2012,CLASS_2014,CLASS_2016,CLASS_2018,CLASS_2020,LAT,LON,PESO_AMOS,bacia,classification_2000,classification_2010,classification_2012,classification_2014,classification_2016,classification_2018,classification_2020,.geo
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0000000000000000469f_0,10,10,10,10,10,10,10,-41.2407047,-4.327721564,376488.441665494,741,3,3,3,3,3,3,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.2406216313505,-4.327678797010001]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000047a9_0,18,18,18,18,18,18,18,-41.04828557,-3.848290696,642926.727352927,741,21,21,21,21,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.0482024974921,-3.8482479298754124]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000004881_0,15,15,15,15,15,15,15,-40.87580903,-3.99193131,642926.727352927,741,21,21,21,21,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.87572596294115,-3.991888543806124]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0000000000000000392c_0,10,10,10,10,10,10,10,-41.28921373,-4.334997917,376488.441665494,741,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.289130656692954,-4.3349551508113695]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000001fbc_0,4,4,4,4,4,4,4,-41.12293557,-3.895721743,642926.727352927,741,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.12285249760243,-3.895678976876923]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000028ef_0,4,4,4,4,4,4,4,-41.20728737,-3.907310011,642926.727352927,741,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.20720430278125,-3.9072672440420653]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000004499_0,4,4,4,4,4,4,4,-41.36682817,-4.077361094,376488.441665494,741,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.36674509724088,-4.077318327325891]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000044f1_0,4,4,4,4,4,4,4,-41.13182889,-3.740492862,642926.727352927,741,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.13174581891521,-3.74045009578107]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000044f8_0,4,4,4,4,4,4,4,-41.47839893,-4.198094668,376488.441665494,741,21,21,21,21,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.47831585552852,-4.198051901511554]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000045a1_0,4,4,4,4,4,4,4,-41.65599586,-4.354401527,376488.441665494,741,3,3,3,3,3,3,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.65591278719895,-4.354358760948351]}"
