,CLASS_2000,CLASS_2010,CLASS_2012,CLASS_2014,CLASS_2016,CLASS_2018,CLASS_2020,LAT,LON,PESO_AMOS,bacia,classification_2000,classification_2010,classification_2012,classification_2014,classification_2016,classification_2018,classification_2020,latitude,longitude,coord_lat,refIBGE_2000,refIBGE_2010,refIBGE_2012,refIBGE_2014,refIBGE_2016,refIBGE_2018,refIBGE_2020
0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-41.2407047,-4.327721564,376488.441665494,741.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-4.327678797010001,-41.2406216313505,-41.2406216313505,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,18.0,18.0,18.0,18.0,18.0,18.0,18.0,-41.04828557,-3.848290696,642926.727352927,741.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,-3.8482479298754124,-41.0482024974921,-41.0482024974921,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,15.0,15.0,15.0,15.0,15.0,15.0,15.0,-40.87580903,-3.99193131,642926.727352927,741.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,-3.991888543806124,-40.87572596294115,-40.87572596294115,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-41.28921373,-4.334997917,376488.441665494,741.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-4.3349551508113695,-41.289130656692954,-41.28913065669295,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-41.12293557,-3.895721743,642926.727352927,741.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-3.895678976876923,-41.12285249760243,-41.12285249760243,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-41.20728737,-3.907310011,642926.727352927,741.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-3.9072672440420653,-41.20720430278125,-41.20720430278125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-41.36682817,-4.077361094,376488.441665494,741.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-4.077318327325891,-41.36674509724088,-41.36674509724088,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-41.13182889,-3.740492862,642926.727352927,741.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-3.74045009578107,-41.13174581891521,-41.13174581891521,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-41.47839893,-4.198094668,376488.441665494,741.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,-4.198051901511554,-41.47831585552852,-41.47831585552852,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-41.65599586,-4.354401527,376488.441665494,741.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-4.354358760948351,-41.65591278719895,-41.65591278719895,0.0,0.0,0.0,0.0,0.0,0.0,0.0
