system:index,area,class,col7,col8,territory,.geo
0_0_0,615864.6841524185,304,3,4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,17124.232768652317,312,3,12,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,294515.9918352544,321,3,21,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,3693.773795507803,322,3,22,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_4,19.612951049804675,330,3,30,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_5,6352.904197906496,333,3,33,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_6,823803.4162035449,403,4,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_7,1038376.7009201051,412,4,12,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_8,5027709.120858426,421,4,21,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_9,24064.933673553456,422,4,22,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_10,145.63176829223622,430,4,30,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_11,41936.8750532104,433,4,33,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_12,35268.9611214966,1203,12,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_13,953623.9994820976,1204,12,4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_14,1197228.9679462602,1221,12,21,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_15,69125.43048485764,1222,12,22,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_16,10.60309012451172,1230,12,30,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_17,5827.9232941589335,1233,12,33,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_18,61356.12511474034,2103,21,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_19,1495564.022157911,2104,21,4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_20,331159.4970506013,2112,21,12,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_21,175344.30731132798,2122,21,22,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_22,114.08867777099611,2130,21,30,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_23,37118.301893280084,2133,21,33,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_24,5248.520582556149,2203,22,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_25,20869.69901836548,2204,22,4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_26,54152.192005664496,2212,22,12,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_27,583819.6000645009,2221,22,21,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_28,111.66756039428701,2230,22,30,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_29,28884.203406988818,2233,22,33,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_30,8.61891484375,3003,30,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_31,31.239161572265626,3004,30,4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_32,12.995688006591797,3012,30,12,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_33,34.646638366699214,3021,30,21,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_34,4.230102954101563,3022,30,22,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_35,9121.357569555683,3030,30,30,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_36,0.7074758361816407,3033,30,33,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_37,828.9914879394546,3303,33,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_38,1678.7279943054214,3304,33,4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_39,750.9572592651378,3312,33,12,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_40,3143.787484973144,3321,33,21,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_41,331.9099170410157,3322,33,22,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_42,2.667964819335938,3330,33,30,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_43,761499.3827826206,3333,33,33,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
