system:index,area,class,col7,col8,territory,.geo
0_0_0,2280902.856066224,303,3,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,615864.6841524183,304,3,4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,17124.232768652313,312,3,12,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,294515.9918352544,321,3,21,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_4,3693.7737955078023,322,3,22,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_5,19.612951049804675,330,3,30,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_6,6352.904197906496,333,3,33,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_7,823803.4162035449,403,4,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_8,4.070240919721004E7,404,4,4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_9,1038376.7009201046,412,4,12,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_10,5027709.120858428,421,4,21,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_11,24064.933673553453,422,4,22,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_12,145.63176829223622,430,4,30,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_13,41936.87505321038,433,4,33,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_14,35268.96112149658,1203,12,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_15,953623.9994820977,1204,12,4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_16,1541909.913518061,1212,12,12,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_17,1197228.9679462605,1221,12,21,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_18,69125.43048485761,1222,12,22,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_19,10.60309012451172,1230,12,30,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_20,5827.923294158932,1233,12,33,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_21,61356.125114740345,2103,21,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_22,1495564.0221579112,2104,21,4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_23,331159.49705060135,2112,21,12,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_24,2.7274236500061296E7,2121,21,21,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_25,175344.30731132795,2122,21,22,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_26,114.0886777709961,2130,21,30,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_27,37118.301893280084,2133,21,33,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_28,5248.52058255615,2203,22,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_29,20869.699018365478,2204,22,4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_30,54152.192005664474,2212,22,12,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_31,583819.6000645009,2221,22,21,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_32,748852.7539628502,2222,22,22,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_33,111.66756039428701,2230,22,30,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_34,28884.203406988825,2233,22,33,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_35,8.61891484375,3003,30,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_36,31.239161572265626,3004,30,4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_37,12.995688006591799,3012,30,12,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_38,34.646638366699214,3021,30,21,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_39,4.230102954101564,3022,30,22,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_40,9121.357569555683,3030,30,30,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_41,0.7074758361816407,3033,30,33,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_42,828.9914879394544,3303,33,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_43,1678.7279943054205,3304,33,4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_44,750.9572592651376,3312,33,12,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_45,3143.787484973144,3321,33,21,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_46,331.9099170410156,3322,33,22,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_47,2.667964819335938,3330,33,30,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_48,761499.3827826211,3333,33,33,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
